"sentinel","label"
"XX.0","≥ 100"
"XX.1","< 3"
"XX.2","≥ 3"
"XX.3","≥ 6"
"XX.4","≥ 9"
"XX.5","≥ 12"
"XX.6","> 15"
"XX.8","not applicable"
"XX.9","not documented"
