"code","label","means_missing","description"
"rooftop","rooftop",FALSE,"The exact point was found with rooftop level accuracy"
"point","point",FALSE,"The exact point was found from address range interpolation where the range contained a single point"
"range_interpolation","range interpolation",FALSE,"The point was found by performing address range interpolation"
"nearest_rooftop_match","nearest rooftop",FALSE,"The exact house number was not found, so a close, neighboring house number was used instead"
"intersection","intersection",FALSE,"The result is an intersection between two streets"
"street_center","street center",FALSE,"The result is a geocoded street centroid"
"place","place",FALSE,"The point is a city/town/place zip code centroid"
"county","county",FALSE,"The point is a county centroid"
"state","state",FALSE,"The point is a state centroid"
