"code","label","means_missing","description"
"0","normal",FALSE,"BRAF negative, BRAF wild type; Negative for (somatic) mutations, no alterations, no (somatic) mutations identified, not present, not detected"
"1","abnormal, BRAF V600E mutation",FALSE,"Abnormal (mutated)/detected: BRAF V600E (c.1799T>A) mutation"
"2","abnormal, not BRAF V600E mutation",FALSE,"Abnormal (mutated)/detected, but not BRAF V600E (c.1799T>A) mutation"
"3","abnormal, BRAF gene fusion",FALSE,"Abnormal (mutated)/detected, KIAA1549: BRAF gene fusion"
"4","abnormal, NOS",FALSE,"Abnormal (mutated), NOS"
"7","test ordered, results unknown",TRUE,"Test ordered, results not in chart"
"8","not applicable",TRUE,"Not applicable: Information not collected for this case; If this information is required by your standard setter, use of code 8 may result in an edit error.)"
"9","unknown",TRUE,"Not documented in medical record; BRAF not assessed or unknown if assessed"
