"code","label","means_missing","description"
"0","none",FALSE,"No gene rearrangements (fusions) identified"
"1","PAX3",FALSE,"FOXO1-PAX3 gene rearrangement (fusion) present"
"2","PAX7",FALSE,"FOXO1-PAX7 gene rearrangement (fusion) present"
"3","PAX3 and PAX7",FALSE,"FOXO1-PAX3 and FOXO1-PAX7 gene rearrangements (fusions) present"
"4","unknown partner",FALSE,"FOXO1 gene rearrangement present, fusion partner not known"
"7","test ordered, results unknown",TRUE,"Test ordered, results not in chart"
"8","not applicable",TRUE,"Not applicable: Information not collected for this case"
"9","unknown",TRUE,"Not documented in medical record; Cannot be determined by pathologist; Not assessed or unknown if assessed"
