"code","label","means_missing","description"
"0","non-Hispanic",FALSE,"Non-Hispanic"
"1","Mexican",FALSE,"Mexican, by birthplace or other specific identifier"
"2","Puerto Rican",FALSE,"Puerto Rican, by birthplace or other specific identifier"
"3","Cuban",FALSE,"Cuban, by birthplace or other specific identifier"
"4","South or Central American",FALSE,"South or Central American (except Brazil), by birthplace or other specific identifier"
"5","other specified",FALSE,"Other specified Spanish/Hispanic origin (includes European; excludes Dominican Republic), by birthplace or other specific identifier"
"6","Spanish/Hispanic, NOS",FALSE,"Spanish, NOS; Hispanic, NOS; Latino, NOS"
"7","NHIA surname match only",FALSE,"NHIA surname match only"
"8","Dominican Republic",FALSE,"Dominican Republic"
