"code","label","means_missing","description"
"0170","crop production",FALSE,"crop production"
"0180","animal production",FALSE,"animal production"
"0190","forestry except logging",FALSE,"forestry except logging"
"0270","logging",FALSE,"logging"
"0280","fishing, hunting, and trapping",FALSE,"fishing, hunting, and trapping"
"0290","support activities for agriculture and forestry",FALSE,"support activities for agriculture and forestry"
"0370","oil and gas extraction",FALSE,"oil and gas extraction"
"0380","coal mining",FALSE,"coal mining"
"0390","metal ore mining",FALSE,"metal ore mining"
"0470","nonmetallic mineral mining and quarrying",FALSE,"nonmetallic mineral mining and quarrying"
"0480","not specified type of mining",FALSE,"not specified type of mining"
"0490","support activities for mining",FALSE,"support activities for mining"
"0570","electric power generation, transmission and distribution",FALSE,"electric power generation, transmission and distribution"
"0580","natural gas distribution",FALSE,"natural gas distribution"
"0590","electric and gas, and other combinations",FALSE,"electric and gas, and other combinations"
"0670","water, steam, air-conditioning, and irrigation systems",FALSE,"water, steam, air-conditioning, and irrigation systems"
"0680","sewage treatment facilities",FALSE,"sewage treatment facilities"
"0690","not specified utilities",FALSE,"not specified utilities"
"0770","construction (the cleaning of buildings and dwellings is incidental during construction and immediately after construction)",FALSE,"construction (the cleaning of buildings and dwellings is incidental during construction and immediately after construction)"
"1070","animal food, grain and oilseed milling",FALSE,"animal food, grain and oilseed milling"
"1080","sugar and confectionery products",FALSE,"sugar and confectionery products"
"1090","fruit and vegetable preserving and specialty food manufacturing",FALSE,"fruit and vegetable preserving and specialty food manufacturing"
"1170","dairy product manufacturing",FALSE,"dairy product manufacturing"
"1180","animal slaughtering and processing",FALSE,"animal slaughtering and processing"
"1190","retail bakeries",FALSE,"retail bakeries"
"1270","bakeries, except retail",FALSE,"bakeries, except retail"
"1280","seafood and other miscellaneous foods, n.e.c.",FALSE,"seafood and other miscellaneous foods, n.e.c."
"1290","not specified food industries",FALSE,"not specified food industries"
"1370","beverage manufacturing",FALSE,"beverage manufacturing"
"1390","tobacco manufacturing",FALSE,"tobacco manufacturing"
"1470","fiber, yarn, and thread mills",FALSE,"fiber, yarn, and thread mills"
"1480","fabric mills, except knitting",FALSE,"fabric mills, except knitting"
"1490","textile and fabric finishing and coating mills",FALSE,"textile and fabric finishing and coating mills"
"1570","carpet and rug mills",FALSE,"carpet and rug mills"
"1590","textile product mills, except carpets and rugs",FALSE,"textile product mills, except carpets and rugs"
"1670","knitting fabric mills, and apparel knitting mills",FALSE,"knitting fabric mills, and apparel knitting mills"
"1680","cut and sew apparel manufacturing",FALSE,"cut and sew apparel manufacturing"
"1690","apparel accessories and other apparel manufacturing",FALSE,"apparel accessories and other apparel manufacturing"
"1770","footwear manufacturing",FALSE,"footwear manufacturing"
"1790","leather tanning and finishing and other allied products manufacturing",FALSE,"leather tanning and finishing and other allied products manufacturing"
"1870","pulp, paper, and paperboard mills",FALSE,"pulp, paper, and paperboard mills"
"1880","paperboard containers and boxes",FALSE,"paperboard containers and boxes"
"1890","miscellaneous paper and pulp products",FALSE,"miscellaneous paper and pulp products"
"1990","printing and related support activities",FALSE,"printing and related support activities"
"2070","petroleum refining",FALSE,"petroleum refining"
"2090","miscellaneous petroleum and coal products",FALSE,"miscellaneous petroleum and coal products"
"2170","resin, synthetic rubber and fibers, and filaments manufacturing",FALSE,"resin, synthetic rubber and fibers, and filaments manufacturing"
"2180","agricultural chemical manufacturing",FALSE,"agricultural chemical manufacturing"
"2190","pharmaceutical and medicine manufacturing",FALSE,"pharmaceutical and medicine manufacturing"
"2270","paint, coating, and adhesive manufacturing",FALSE,"paint, coating, and adhesive manufacturing"
"2280","soap, cleaning compound, and cosmetics manufacturing",FALSE,"soap, cleaning compound, and cosmetics manufacturing"
"2290","industrial and miscellaneous chemicals",FALSE,"industrial and miscellaneous chemicals"
"2370","plastics product manufacturing",FALSE,"plastics product manufacturing"
"2380","tire manufacturing",FALSE,"tire manufacturing"
"2390","rubber products, except tires, manufacturing",FALSE,"rubber products, except tires, manufacturing"
"2470","pottery, ceramics, and plumbing fixture manufacturing",FALSE,"pottery, ceramics, and plumbing fixture manufacturing"
"2480","structural clay product manufacturing",FALSE,"structural clay product manufacturing"
"2490","glass and glass product manufacturing",FALSE,"glass and glass product manufacturing"
"2570","cement, concrete, lime, and gypsum product manufacturing",FALSE,"cement, concrete, lime, and gypsum product manufacturing"
"2590","miscellaneous nonmetallic mineral product manufacturing",FALSE,"miscellaneous nonmetallic mineral product manufacturing"
"2670","iron and steel mills and steel product manufacturing",FALSE,"iron and steel mills and steel product manufacturing"
"2680","aluminum production and processing",FALSE,"aluminum production and processing"
"2690","nonferrous metal, except aluminum, production and processing",FALSE,"nonferrous metal, except aluminum, production and processing"
"2770","foundries",FALSE,"foundries"
"2780","metal forgings and stampings",FALSE,"metal forgings and stampings"
"2790","cutlery and hand tool manufacturing",FALSE,"cutlery and hand tool manufacturing"
"2870","structural metals, and boiler, tank, and shipping container manufacturing",FALSE,"structural metals, and boiler, tank, and shipping container manufacturing"
"2880","machine shops; turned product; screw, nut and bolt manufacturing",FALSE,"machine shops; turned product; screw, nut and bolt manufacturing"
"2890","coating, engraving, heat treating and allied activities",FALSE,"coating, engraving, heat treating and allied activities"
"2970","ordnance",FALSE,"ordnance"
"2980","miscellaneous fabricated metal products manufacturing",FALSE,"miscellaneous fabricated metal products manufacturing"
"2990","not specified metal industries",FALSE,"not specified metal industries"
"3070","agricultural implement manufacturing",FALSE,"agricultural implement manufacturing"
"3080","construction, mining and oil and gas field machinery manufacturing",FALSE,"construction, mining and oil and gas field machinery manufacturing"
"3090","commercial and service industry machinery manufacturing",FALSE,"commercial and service industry machinery manufacturing"
"3170","metalworking machinery manufacturing",FALSE,"metalworking machinery manufacturing"
"3180","engines, turbines, and power transmission equipment manufacturing",FALSE,"engines, turbines, and power transmission equipment manufacturing"
"3190","machinery manufacturing, n.e.c.",FALSE,"machinery manufacturing, n.e.c."
"3290","not specified machinery manufacturing",FALSE,"not specified machinery manufacturing"
"3360","computer and peripheral equipment manufacturing",FALSE,"computer and peripheral equipment manufacturing"
"3370","communications, audio, and video equipment manufacturing",FALSE,"communications, audio, and video equipment manufacturing"
"3380","navigational, measuring, electromedical, and control instruments manufacturing",FALSE,"navigational, measuring, electromedical, and control instruments manufacturing"
"3390","electronic component and product manufacturing, n.e.c.",FALSE,"electronic component and product manufacturing, n.e.c."
"3470","household appliance manufacturing",FALSE,"household appliance manufacturing"
"3490","electrical lighting and electrical equipment manufacturing, and other electrical component manufacturing, n.e.c.",FALSE,"electrical lighting and electrical equipment manufacturing, and other electrical component manufacturing, n.e.c."
"3570","motor vehicles and motor vehicle equipment manufacturing",FALSE,"motor vehicles and motor vehicle equipment manufacturing"
"3580","aircraft and parts manufacturing",FALSE,"aircraft and parts manufacturing"
"3590","aerospace products and parts manufacturing",FALSE,"aerospace products and parts manufacturing"
"3670","railroad rolling stock manufacturing",FALSE,"railroad rolling stock manufacturing"
"3680","ship and boat building",FALSE,"ship and boat building"
"3690","other transportation equipment manufacturing",FALSE,"other transportation equipment manufacturing"
"3770","sawmills and wood preservation",FALSE,"sawmills and wood preservation"
"3780","veneer, plywood, and engineered wood products",FALSE,"veneer, plywood, and engineered wood products"
"3790","prefabricated wood buildings and mobile homes",FALSE,"prefabricated wood buildings and mobile homes"
"3870","miscellaneous wood products",FALSE,"miscellaneous wood products"
"3890","furniture and related product manufacturing",FALSE,"furniture and related product manufacturing"
"3960","medical equipment and supplies manufacturing",FALSE,"medical equipment and supplies manufacturing"
"3970","sporting and athletic goods, and doll, toy and game manufacturing",FALSE,"sporting and athletic goods, and doll, toy and game manufacturing"
"3980","miscellaneous manufacturing, n.e.c.",FALSE,"miscellaneous manufacturing, n.e.c."
"3990","not specified manufacturing industries",FALSE,"not specified manufacturing industries"
"4070","motor vehicles, parts and supplies merchant wholesalers",FALSE,"motor vehicles, parts and supplies merchant wholesalers"
"4080","furniture and home furnishing merchant wholesalers",FALSE,"furniture and home furnishing merchant wholesalers"
"4090","lumber and other construction materials merchant wholesalers",FALSE,"lumber and other construction materials merchant wholesalers"
"4170","professional and commercial equipment and supplies merchant wholesalers",FALSE,"professional and commercial equipment and supplies merchant wholesalers"
"4180","metals and minerals, except petroleum, merchant wholesalers",FALSE,"metals and minerals, except petroleum, merchant wholesalers"
"4190","electrical and electronic goods merchant wholesalers",FALSE,"electrical and electronic goods merchant wholesalers"
"4260","hardware, plumbing and heating equipment, and supplies merchant wholesalers",FALSE,"hardware, plumbing and heating equipment, and supplies merchant wholesalers"
"4270","machinery, equipment, and supplies merchant wholesalers",FALSE,"machinery, equipment, and supplies merchant wholesalers"
"4280","recyclable material merchant wholesalers",FALSE,"recyclable material merchant wholesalers"
"4290","miscellaneous durable goods merchant wholesalers",FALSE,"miscellaneous durable goods merchant wholesalers"
"4370","paper and paper products merchant wholesalers",FALSE,"paper and paper products merchant wholesalers"
"4380","drugs, sundries, and chemical and allied products merchant wholesalers",FALSE,"drugs, sundries, and chemical and allied products merchant wholesalers"
"4390","apparel, fabrics, and notions merchant wholesalers",FALSE,"apparel, fabrics, and notions merchant wholesalers"
"4470","groceries and related products merchant wholesalers",FALSE,"groceries and related products merchant wholesalers"
"4480","farm product raw materials merchant wholesalers",FALSE,"farm product raw materials merchant wholesalers"
"4490","petroleum and petroleum products merchant wholesalers",FALSE,"petroleum and petroleum products merchant wholesalers"
"4560","alcoholic beverages merchant wholesalers",FALSE,"alcoholic beverages merchant wholesalers"
"4570","farm supplies merchant wholesalers",FALSE,"farm supplies merchant wholesalers"
"4580","miscellaneous nondurable goods merchant wholesalers",FALSE,"miscellaneous nondurable goods merchant wholesalers"
"4585","wholesale electronic markets agents and brokers",FALSE,"wholesale electronic markets agents and brokers"
"4590","not specified wholesale trade",FALSE,"not specified wholesale trade"
"4670","automobile dealers",FALSE,"automobile dealers"
"4680","other motor vehicle dealers",FALSE,"other motor vehicle dealers"
"4690","auto parts, accessories, and tire stores",FALSE,"auto parts, accessories, and tire stores"
"4770","furniture and home furnishings stores",FALSE,"furniture and home furnishings stores"
"4780","household appliance stores",FALSE,"household appliance stores"
"4790","radio, tv, and computer stores",FALSE,"radio, tv, and computer stores"
"4870","building material and supplies dealers",FALSE,"building material and supplies dealers"
"4880","hardware stores",FALSE,"hardware stores"
"4890","lawn and garden equipment and supplies stores",FALSE,"lawn and garden equipment and supplies stores"
"4970","grocery stores",FALSE,"grocery stores"
"4980","specialty food stores",FALSE,"specialty food stores"
"4990","beer, wine, and liquor stores",FALSE,"beer, wine, and liquor stores"
"5070","pharmacies and drug stores",FALSE,"pharmacies and drug stores"
"5080","health and personal care, except drug, stores",FALSE,"health and personal care, except drug, stores"
"5090","gasoline stations",FALSE,"gasoline stations"
"5170","clothing stores",FALSE,"clothing stores"
"5180","shoe stores",FALSE,"shoe stores"
"5190","jewelry, luggage, and leather goods stores",FALSE,"jewelry, luggage, and leather goods stores"
"5270","sporting goods, camera, and hobby and toy stores",FALSE,"sporting goods, camera, and hobby and toy stores"
"5280","sewing, needlework, and piece goods stores",FALSE,"sewing, needlework, and piece goods stores"
"5290","music stores",FALSE,"music stores"
"5370","book stores and news dealers",FALSE,"book stores and news dealers"
"5380","department stores and discount stores",FALSE,"department stores and discount stores"
