"code","label","means_missing","description"
"0","none",FALSE,"No gene rearrangements (fusions) identified"
"1","FLI1",FALSE,"EWSR1-FLI1 gene rearrangement (fusion) present"
"2","ERG",FALSE,"EWSR1-ERG gene rearrangement (fusion) present"
"3","other",FALSE,"Other EWSR1 gene rearrangement (fusion) present"
"4","unknown partner",FALSE,"EWSR1 rearrangement present, fusion partner not known"
"5","non-EWSR1 variant translocation",FALSE,"Non-EWSR1 variant translocation present"
"7","test ordered, results unknown",TRUE,"Test ordered, results not in chart"
"8","not applicable",TRUE,"Not applicable: Information not collected for this case"
"9","unknown",TRUE,"Not documented in medical record; Cannot be determined by pathologist; Not assessed or unknown if assessed"
