"code","label","means_missing","description"
"0","0",FALSE,"Stage 0; Tumor confined to the globe; Enucleation has not been performed; Patient treated conservatively with either focal therapies or chemotherapy"
"1","I",FALSE,"Stage I; Enucleation with negative margins (R0); Completely resected histologically"
"2","II",FALSE,"Stage II; Enucleation with positive/microscopic residual tumor"
"3","III",FALSE,"Stage III; Regional extension, involvement of orbit, preauricular extension, or cervical lymph node"
"4","IV",FALSE,"Stage IV; Distant metastatic disease"
"7","not applicable",TRUE,"Not applicable: Only one eye is involved, and staging collected in Pediatric Primary Tumor, Pediatric Regional Nodes and Pediatric Mets; Unilateral retinoblastoma"
"8","not applicable",TRUE,"Not applicable: Information not collected for this case"
"9","unknown",TRUE,"Not documented in medical record; IRSS not assessed or unknown if assessed"
