"code","label","means_missing","description"
"0","not amplified",FALSE,"Not amplified/negative"
"1","amplified",FALSE,"Amplified/positive"
"2","gain",FALSE,"Gain"
"7","test ordered, results unknown",TRUE,"Test ordered, results not in chart"
"8","not applicable",TRUE,"Not applicable: Information not collected for this case"
"9","unknown",TRUE,"Not documented in medical record; Cannot be determined by pathologist; Not applicable (secondary to previous chemotherapy); n-MYC not assessed or unknown if assessed"
