"code","label","means_missing","description"
"1","Census, NOS",FALSE,"Census Bureau list of Spanish surnames, NOS"
"2","Census 1980",FALSE,"1980 Census Bureau list of Spanish surnames"
"3","Census 1990",FALSE,"1990 Census Bureau list of Spanish surnames"
"4","GUESS program",FALSE,"GUESS Program"
"5","South Florida and other",FALSE,"Combination list including South Florida names"
"6","Census and local",FALSE,"Combination of Census and other locally generated list"
"7","Census and GUESS",FALSE,"Combination of Census and GUESS, with or without other lists"
"8","other",FALSE,"Other type of match"
"9","unknown",TRUE,"Unknown type of match"
